tool,nthreads,size,repetitions,usec
Pthreads,1,2000000,2000,14090460
Pthreads,2,1000000,2000,7846754
Pthreads,4,500000,2000,6943146
Pthreads,8,250000,2000,6623463

Pthreads,1,2000000,4000,28716697
Pthreads,2,1000000,4000,15919209
Pthreads,4,500000,4000,13139057
Pthreads,8,250000,4000,12968190

Pthreads,1,2000000,8000,56116618
Pthreads,2,1000000,8000,30437132
Pthreads,4,500000,8000,25509057
Pthreads,8,250000,8000,25268175

OpenMP,1,2000000,2000,17230187
OpenMP,2,1000000,2000,9352278
OpenMP,4,500000,2000,9091313
OpenMP,8,250000,2000,9170108

OpenMP,1,2000000,4000,40176823
OpenMP,2,1000000,4000,20129256
OpenMP,4,500000,4000,18717602
OpenMP,8,250000,4000,19268960

OpenMP,1,2000000,8000,69891939
OpenMP,2,1000000,8000,37811266
OpenMP,4,500000,8000,36691284
OpenMP,8,250000,8000,36890741
